 #Position                   Field Strength
   0.0000000000000000        20.000000000000000     
   5.0000000000000003E-002   20.000000000000000     
  0.10000000000000001        20.000000000000000     
  0.14999999999999999        20.000000000000000     
  0.20000000000000001        20.000000000000000     
  0.25000000000000000        20.000000000000004     
  0.29999999999999999        20.000000000000004     
  0.34999999999999998        19.999999999999993     
  0.40000000000000002        19.999999999999993     
  0.45000000000000001        20.000000000000004     
  0.50000000000000000        19.999999999999993     
  0.55000000000000004        20.000000000000004     
  0.59999999999999998        20.000000000000004     
  0.65000000000000002        20.000000000000004     
  0.69999999999999996        20.000000000000004     
  0.75000000000000000        19.999999999999982     
  0.80000000000000004        20.000000000000004     
  0.84999999999999998        20.000000000000004     
  0.90000000000000002        20.000000000000004     
  0.94999999999999996        20.000000000000004     
   1.0000000000000000        19.999999999999982     
